Week,Interest
2019-07-28,1
2019-08-04,1
2019-08-11,2
2019-08-18,3
2019-08-25,2
2019-09-01,6
2019-09-08,10
2019-09-15,3
2019-09-22,2
2019-09-29,1
2019-10-06,3
2019-10-13,2
2019-10-20,3
2019-10-27,4
2019-11-03,11
2019-11-10,48
2019-11-17,20
2019-11-24,9
2019-12-01,21
2019-12-08,16
2019-12-15,26
2019-12-22,17
2019-12-29,89
2020-01-05,100
2020-01-12,41
2020-01-19,22
2020-01-26,19
2020-02-02,19
2020-02-09,16
2020-02-16,14
2020-02-23,10
2020-03-01,6
2020-03-08,6
2020-03-15,4
2020-03-22,3
2020-03-29,3
2020-04-05,3
2020-04-12,3
2020-04-19,3
2020-04-26,3
2020-05-03,3
2020-05-10,3
2020-05-17,3
2020-05-24,3
2020-05-31,3
2020-06-07,3
2020-06-14,3
2020-06-21,2
2020-06-28,2
2020-07-05,2
2020-07-12,2
2020-07-19,2
2020-07-26,1
