Week,Interest
28/07/2019,1
04/08/2019,1
11/08/2019,2
18/08/2019,3
25/08/2019,2
01/09/2019,6
08/09/2019,10
15/09/2019,3
22/09/2019,2
29/09/2019,1
06/10/2019,3
13/10/2019,2
20/10/2019,3
27/10/2019,4
03/11/2019,11
10/11/2019,48
17/11/2019,20
24/11/2019,9
01/12/2019,21
08/12/2019,16
15/12/2019,26
22/12/2019,17
29/12/2019,89
05/01/2020,100
12/01/2020,41
19/01/2020,22
26/01/2020,19
02/02/2020,19
09/02/2020,16
16/02/2020,14
23/02/2020,10
01/03/2020,6
08/03/2020,6
15/03/2020,4
22/03/2020,3
29/03/2020,3
05/04/2020,3
12/04/2020,3
19/04/2020,3
26/04/2020,3
03/05/2020,3
10/05/2020,3
17/05/2020,3
24/05/2020,3
31/05/2020,3
07/06/2020,3
14/06/2020,3
21/06/2020,2
28/06/2020,2
05/07/2020,2
12/07/2020,2
19/07/2020,2
26/07/2020,1
