Week,Interest
28/07/2019,1
4/08/2019,1
11/08/2019,1
18/08/2019,2
25/08/2019,1
1/09/2019,3
8/09/2019,6
15/09/2019,2
22/09/2019,1
29/09/2019,1
6/10/2019,2
13/10/2019,1
20/10/2019,2
27/10/2019,2
3/11/2019,6
10/11/2019,28
17/11/2019,13
24/11/2019,6
1/12/2019,12
8/12/2019,9
15/12/2019,15
22/12/2019,11
29/12/2019,61
5/01/2020,100
12/01/2020,33
19/01/2020,17
26/01/2020,14
2/02/2020,16
9/02/2020,21
16/02/2020,9
23/02/2020,6
1/03/2020,4
8/03/2020,4
15/03/2020,3
22/03/2020,3
29/03/2020,2
5/04/2020,2
12/04/2020,2
19/04/2020,2
26/04/2020,2
3/05/2020,2
10/05/2020,2
17/05/2020,2
24/05/2020,2
31/05/2020,2
7/06/2020,2
14/06/2020,4
21/06/2020,3
28/06/2020,2
5/07/2020,1
12/07/2020,1
19/07/2020,1
26/07/2020,1
