Week,Interest
2019-08-04,1
2019-08-11,1
2019-08-18,2
2019-08-25,1
2019-09-01,3
2019-09-08,5
2019-09-15,2
2019-09-22,1
2019-09-29,1
2019-10-06,1
2019-10-13,1
2019-10-20,2
2019-10-27,2
2019-11-03,6
2019-11-10,28
2019-11-17,12
2019-11-24,6
2019-12-01,11
2019-12-08,9
2019-12-15,14
2019-12-22,10
2019-12-29,59
2020-01-05,100
2020-01-12,33
2020-01-19,17
2020-01-26,13
2020-02-02,16
2020-02-09,20
2020-02-16,9
2020-02-23,6
2020-03-01,4
2020-03-08,4
2020-03-15,3
2020-03-22,2
2020-03-29,2
2020-04-05,2
2020-04-12,2
2020-04-19,2
2020-04-26,2
2020-05-03,2
2020-05-10,2
2020-05-17,2
2020-05-24,2
2020-05-31,2
2020-06-07,2
2020-06-14,3
2020-06-21,3
2020-06-28,2
2020-07-05,1
2020-07-12,1
2020-07-19,1
2020-07-26,1
